,name,categories,lat,lng,groupby
0,Subway,Sandwich Place,1.435623666313641,103.78550420922878,Misc.
1,Starbucks,Coffee Shop,1.4369176642008261,103.78683178987171,Quick Bite
2,Yami Yogurt,Frozen Yogurt Shop,1.4368424944696512,103.78675354775456,Quick Bite
3,Cold Storage,Supermarket,1.4361403359418172,103.78599643707275,Shop
4,Cathay Cineplexes,Movie Theater,1.4360863739162737,103.78603908705016,Entertainment
5,Cotton On,Clothing Store,1.4359204638799552,103.78629952669144,Shop
6,UNIQLO,Clothing Store,1.4357125652862273,103.7862729093228,Shop
7,Geláre,Ice Cream Shop,1.43604749362559,103.78623515367508,Shop
8,Sushi Take-out,Sushi Restaurant,1.4366857183510657,103.78631795344388,Restaurant
9,Mr Bean,Snack Place,1.436098233284276,103.7864048880215,Misc.
10,McDonald's / McCafé,Fast Food Restaurant,1.4365808018220876,103.78651310448741,Restaurant
11,Shami Banana Leaf Delights,Indian Restaurant,1.4363453122892877,103.78627819102758,Restaurant
12,Yolé,Frozen Yogurt Shop,1.4357606552446833,103.78639088944296,Quick Bite
13,Toast Box 土司工坊 (Toast Box),Café,1.4365821426368235,103.78637137224983,Misc.
14,Pizza Hut,Pizza Place,1.435612244818575,103.78551768361851,Restaurant
15,Crystal Jade Kitchen 翡翠小厨,Chinese Restaurant,1.435520892136245,103.78554135001637,Restaurant
16,Challenger,Electronics Store,1.4358152500859327,103.78633920215624,Misc.
17,Amore Fitness,Gym,1.4349186210691662,103.78694238333223,Misc.
18,Ichiban Boshi,Japanese Restaurant,1.4357366532970954,103.78598609647688,Restaurant
19,The Coffee Bean & Tea Leaf,Café,1.435801589721321,103.78635899941982,Misc.
20,BAgus,Food Court,1.4361226189151217,103.78608921922485,Restaurant
21,EAT.,Asian Restaurant,1.4367498960662777,103.78678991876222,Restaurant
22,Causeway Point,Shopping Mall,1.435997553172348,103.78595888614655,Shop
23,Popular Bookstore,Bookstore,1.4373216260692185,103.78621028306063,Misc.
24,Gurney Drive,Malay Restaurant,1.435905061353349,103.78579151802086,Restaurant
25,Délifrance,Café,1.435625622833819,103.78559889244714,Misc.
26,Shabu Sai,Japanese Restaurant,1.4358042196659893,103.78598335752993,Restaurant
27,McDonald's / McCafé,Fast Food Restaurant,1.4354615233293506,103.78678967842795,Restaurant
28,Woodlands Pasar Malam,Night Market,1.4365815955603474,103.7866758451276,Shop
29,Singapore Post,Post Office,1.4347149585031485,103.78672810518596,Misc.
30,BALIThai,Thai Restaurant,1.4358960261431668,103.78620137317819,Restaurant
31,SingTel Shop,Mobile Phone Shop,1.4359670526265331,103.78622442483902,Shop
32,Courts,Electronics Store,1.4356707997688791,103.78557444420417,Misc.
33,BreadTalk,Bakery,1.4365724293498416,103.78633228622105,Quick Bite
34,Yoshinoya,Japanese Restaurant,1.4355779428939794,103.7855471835478,Restaurant
35,Texas Chicken,Fried Chicken Joint,1.4355561425707875,103.78549459612456,Misc.
36,Paradise Dynasty 樂天皇朝,Chinese Restaurant,1.4359353287464636,103.78626710982486,Restaurant
37,Starbucks,Coffee Shop,1.4354560678910944,103.7867320977121,Quick Bite
38,Woodlands Civic Centre,Shopping Mall,1.4349457219393835,103.78678582099067,Shop
39,Al-Ameen Eating Corner,Indian Restaurant,1.4391675909121628,103.78342009414956,Restaurant
40,Huo Shi Xuan,Coffee Shop,1.4326143363040205,103.78488600254059,Quick Bite
41,Metro,Department Store,1.4357251864818927,103.78550876625164,Entertainment
42,Hot Tomato Cafe & Grill,American Restaurant,1.4355384620564688,103.78548892022312,Restaurant
43,Penang Street Buffet,Asian Restaurant,1.4357494023794009,103.78588970135267,Restaurant
44,Timezone,Arcade,1.4357947154076882,103.78627517781176,Misc.
45,Covered Walk @ Woodlands,Trail,1.438963672078863,103.78730247368058,Misc.
46,Bus Stop 46321 (Woodlands Civic Centre),Bus Station,1.4345709402028806,103.78664854158288,Misc.
47,Yummy Food Link,Coffee Shop,1.4375989229458677,103.78257338987956,Quick Bite
48,"Blk 369, Woodlands Ave 1 (BASKETBALL COURT)",Basketball Court,1.4329723199664692,103.78714967964152,Misc.
49,Bus Stop 46649 (Blk 515),Bus Stop,1.435113810781609,103.78992657227597,Misc.
